,ensembl_id,prioritised_sources,is_Ellen,in_validation,tractability_by_min_tractability_bucket,is_experimental_toxicity,is_adverse_effects,LoF_other
PTDSS1,ENSG00000156471,gene2phenotype,True,False,None,False,False,False
CTBP1,ENSG00000159692,genomics_england,True,False,draggable,False,False,False
BNC2,ENSG00000173068,genomics_england,True,False,None,False,False,False
SCN4A,ENSG00000007314,gene2phenotype,True,False,clinical,False,False,False
COG4,ENSG00000103051,gene2phenotype,True,False,draggable,False,False,False
LMBRD2,ENSG00000164187,genomics_england,False,False,draggable,False,False,False
AFF3,ENSG00000144218,genomics_england,True,False,None,False,False,False
GNAS,ENSG00000087460,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
TEK,ENSG00000120156,gene2phenotype,True,False,clinical,True,False,False
RHOBTB2,ENSG00000008853,genomics_england,True,False,draggable,False,False,False
TSHR,ENSG00000165409,gene2phenotype,True,False,draggable,False,False,False
CARD14,ENSG00000141527,genomics_england,True,False,None,False,False,False
SMOX,ENSG00000088826,gene2phenotype,False,False,None,False,False,False
PRDM13,ENSG00000112238,gene2phenotype,True,False,None,False,False,False
LRP5,ENSG00000162337,gene2phenotype,True,False,draggable,False,False,False
SLC52A3,ENSG00000101276,genomics_england,True,False,draggable,False,False,False
EGFR,ENSG00000146648,eva,False,False,clinical,True,False,False
UBTF,ENSG00000108312,"eva,genomics_england",True,False,None,False,False,False
FLNB,ENSG00000136068,gene2phenotype,True,False,draggable,False,False,False
GLUD1,ENSG00000148672,gene2phenotype,True,False,None,False,False,False
KCNJ8,ENSG00000121361,gene2phenotype,True,False,clinical,False,True,False
RNF13,ENSG00000082996,genomics_england,True,False,None,False,False,False
FAM111A,ENSG00000166801,gene2phenotype,True,False,None,False,False,False
BRAF,ENSG00000157764,"eva_somatic,gene2phenotype,genomics_england",True,True,clinical,False,False,False
HBB,ENSG00000244734,eva,False,False,clinical,False,False,False
ABCC9,ENSG00000069431,gene2phenotype,True,False,clinical,False,True,False
CHRND,ENSG00000135902,eva,False,False,clinical,False,False,False
WNK1,ENSG00000060237,genomics_england,True,False,draggable,False,False,False
CHD7,ENSG00000171316,genomics_england,True,False,None,False,False,True
SMN1,ENSG00000172062,genomics_england,True,False,draggable,False,False,False
ZAP70,ENSG00000115085,genomics_england,True,False,draggable,True,False,False
KCTD1,ENSG00000134504,gene2phenotype,True,False,None,False,False,False
IRF6,ENSG00000117595,gene2phenotype,True,False,None,False,False,False
MAFB,ENSG00000204103,gene2phenotype,True,False,None,False,False,False
GRIA1,ENSG00000155511,genomics_england,True,False,clinical,False,False,False
ACTG1,ENSG00000184009,gene2phenotype,True,False,draggable,False,False,False
SPTLC2,ENSG00000100596,genomics_england,True,False,draggable,False,False,False
F12,ENSG00000131187,"gene2phenotype,genomics_england",True,True,clinical,False,False,False
ABCB6,ENSG00000115657,genomics_england,True,False,draggable,False,False,False
PDE6B,ENSG00000133256,gene2phenotype,True,False,clinical,False,False,False
PSTPIP1,ENSG00000140368,genomics_england,True,False,draggable,False,False,False
CDKAL1,ENSG00000145996,eva,False,False,None,False,False,False
POLD1,ENSG00000062822,genomics_england,True,False,clinical,False,False,False
CFB,ENSG00000243649,genomics_england,True,False,draggable,False,False,False
AKT1,ENSG00000142208,gene2phenotype,True,True,clinical,True,True,False
FGFR1,ENSG00000077782,"eva,gene2phenotype,genomics_england",True,False,clinical,True,False,True
SOS2,ENSG00000100485,genomics_england,True,False,None,False,False,False
KCNK4,ENSG00000182450,genomics_england,True,False,draggable,False,False,False
CSF1R,ENSG00000182578,eva,False,False,clinical,True,False,False
CNGA3,ENSG00000144191,gene2phenotype,True,False,None,False,False,True
SOS1,ENSG00000115904,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
SAMD9,ENSG00000205413,gene2phenotype,True,False,None,False,False,False
FGFR3,ENSG00000068078,"gene2phenotype,genomics_england",True,True,clinical,True,False,False
RAF1,ENSG00000132155,"gene2phenotype,genomics_england",True,False,clinical,True,False,False
ATN1,ENSG00000111676,genomics_england,True,False,None,False,False,False
PACS1,ENSG00000175115,gene2phenotype,True,False,None,False,False,False
TCF3,ENSG00000071564,genomics_england,True,False,None,False,False,False
TRPV4,ENSG00000111199,"gene2phenotype,genomics_england",True,False,clinical,False,False,False
NRAS,ENSG00000213281,genomics_england,True,False,draggable,False,False,False
FMR1,ENSG00000102081,gene2phenotype,True,False,draggable,False,False,False
IFIH1,ENSG00000115267,gene2phenotype,True,False,draggable,False,False,False
SDHB,ENSG00000117118,gene2phenotype,True,False,draggable,False,False,False
TRRAP,ENSG00000196367,genomics_england,True,False,None,False,False,False
ZIC1,ENSG00000152977,"gene2phenotype,genomics_england",True,False,None,False,False,False
ZFYVE26,ENSG00000072121,genomics_england,True,False,None,False,False,True
RRAS2,ENSG00000133818,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
MAP2K1,ENSG00000169032,"gene2phenotype,genomics_england",True,False,clinical,False,False,False
NOTCH2,ENSG00000134250,gene2phenotype,True,False,clinical,False,False,False
HK1,ENSG00000156515,genomics_england,True,False,draggable,False,False,False
SMO,ENSG00000128602,gene2phenotype,True,False,clinical,False,False,False
GNAQ,ENSG00000156052,gene2phenotype,True,False,draggable,False,False,False
C3,ENSG00000125730,genomics_england,True,False,draggable,False,False,False
EEF1A2,ENSG00000101210,gene2phenotype,True,False,None,False,False,False
LRRK2,ENSG00000188906,genomics_england,True,False,draggable,False,False,False
DVL1,ENSG00000107404,"gene2phenotype,genomics_england",True,False,None,False,False,False
GNA11,ENSG00000088256,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
FLNA,ENSG00000196924,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
PITX2,ENSG00000164093,eva,False,False,None,False,False,False
SCN9A,ENSG00000169432,gene2phenotype,True,False,clinical,False,False,False
ACVR1,ENSG00000115170,gene2phenotype,True,False,draggable,False,False,False
IGF2,ENSG00000167244,gene2phenotype,True,False,clinical,False,False,False
WAS,ENSG00000015285,genomics_england,True,False,draggable,False,False,False
RIT1,ENSG00000143622,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
CACNA1G,ENSG00000006283,genomics_england,True,False,clinical,False,False,False
DPF2,ENSG00000133884,genomics_england,True,False,None,False,False,False
PTPN11,ENSG00000179295,gene2phenotype,True,False,draggable,True,False,False
CAMK4,ENSG00000152495,eva,False,False,draggable,False,False,False
MECOM,ENSG00000085276,gene2phenotype,True,False,None,False,False,False
CCND2,ENSG00000118971,"gene2phenotype,genomics_england",True,False,draggable,False,False,False
ACTB,ENSG00000075624,gene2phenotype,True,False,draggable,False,False,False
SHOC2,ENSG00000108061,gene2phenotype,True,False,None,False,False,False
ALDH18A1,ENSG00000059573,gene2phenotype,True,False,None,False,False,False
INF2,ENSG00000203485,genomics_england,True,False,None,False,False,False
EPAS1,ENSG00000116016,genomics_england,True,False,draggable,False,False,False
PRKAR1A,ENSG00000108946,gene2phenotype,True,False,draggable,False,False,False
PIK3CD,ENSG00000171608,genomics_england,True,False,clinical,False,False,False
MAP2K2,ENSG00000126934,"gene2phenotype,genomics_england",True,False,clinical,False,False,False
